CustomerID,total_spend,num_invoices,num_unique_items,recency_days,country,saw_discount,purchased_again
12346.0,0.0,2,1,325,United Kingdom,1,0
12347.0,4310.0,7,103,1,Iceland,0,1
12348.0,1797.24,4,22,74,Finland,0,0
12349.0,1757.55,1,73,18,Italy,1,1
12350.0,334.4,1,17,309,Norway,1,0
12352.0,1545.41,11,59,35,Norway,0,1
12353.0,89.0,1,4,203,Bahrain,1,0
12354.0,1079.4,1,58,231,Spain,1,0
12355.0,459.4,1,13,213,Bahrain,1,0
12356.0,2811.43,3,53,22,Portugal,1,1
12357.0,6207.67,1,131,32,Switzerland,1,1
12358.0,1168.06,2,13,1,Austria,1,1
12359.0,6245.53,6,214,7,Cyprus,0,1
12360.0,2662.06,3,105,51,Austria,1,0
12361.0,189.9,1,10,286,Belgium,1,0
12362.0,5154.58,13,201,2,Belgium,0,1
12363.0,552.0,2,23,109,Unspecified,1,0
12364.0,1313.1,4,70,7,Belgium,0,1
12365.0,320.69,3,22,290,Cyprus,1,0
12367.0,168.9,1,11,3,Denmark,1,1
12370.0,3545.69,4,143,50,Cyprus,0,0
12371.0,1887.96,2,63,44,Switzerland,1,0
12372.0,1298.04,3,34,71,Denmark,1,0
12373.0,364.6,1,14,310,Austria,1,0
12374.0,742.9300000000001,1,33,24,Austria,1,1
12375.0,455.42,3,14,2,Finland,1,1
12377.0,1628.12,2,72,314,Switzerland,1,0
12378.0,4008.62,1,219,129,Switzerland,1,0
12379.0,850.29,3,39,81,Belgium,1,0
12380.0,2720.56,5,77,21,Belgium,0,1
12381.0,1803.96,6,70,4,Norway,0,1
12383.0,1839.31,6,84,184,Belgium,0,0
12384.0,566.16,3,26,28,Switzerland,1,1
12386.0,401.9,2,10,337,Australia,1,0
12388.0,2780.66,6,57,15,Australia,0,1
12390.0,549.84,1,32,79,Belgium,1,0
12391.0,460.89,1,92,21,Cyprus,1,1
12393.0,1582.6000000000001,4,47,71,Australia,0,0
12394.0,1272.48,2,26,63,Belgium,1,0
12395.0,2998.28,15,91,15,Belgium,0,1
12397.0,2409.9,2,110,35,Belgium,1,1
12398.0,1635.6599999999999,1,85,45,Switzerland,1,0
12399.0,1108.65,4,47,118,Belgium,0,0
12401.0,84.3,1,5,302,Belgium,1,0
12402.0,225.6,1,11,322,Belgium,1,0
12403.0,409.7,2,5,49,Denmark,1,0
12405.0,1710.39,1,54,148,Finland,1,0
12406.0,3280.75,3,92,21,Denmark,1,1
